the_geom,capacity_mw,record_last_updated_dd_mm_yyyy,operator,name,renewable_or_non_renewable,technology_type,cartodb_id,development_status,county,region,country,lat,long,operational
0101000020E6100000622F14B01D9C09C0B35F77BAF3804940,4.8,24/03/2014,TGC Renewables,New Rendy Farm,Renewable,Solar Photovoltaics,1068,Operational,Somerset,South West,England,51.007438,-3.2012285,15/12/2013
0101000020E61000009A7CB3CD8D69F83F63804413282E4A40,11,27/03/2014,Mr Steven Rademaker,Holton Airfield,Renewable,Solar Photovoltaics,1069,Operational,Suffolk,Eastern,England,52.360598,1.52577,19/12/2013
0101000020E6100000FF9CDDB5DFB5F5BF5BD2510E66D14940,11.5,28/02/2014,IKAROS SOLAR LIMITED,Goose Willow Farm,Renewable,Solar Photovoltaics,1070,Operational,Oxfordshire,South East,England,51.635927,-1.3569028,23/12/2013
0101000020E610000051D845D1035F09C0E010AAD4ECD74940,4,31/03/2014,Partnerships for Renewables,Oakdale Business Park,Renewable,Wind Onshore,1071,Operational,Gwent,Wales,Wales,51.686915,-3.171394,24/12/2013
0101000020E610000052F41B81D38605C0179F02603CC14940,6.5,16/09/2014,New Earth Energy,Avonmouth Low Carbon Energy Facility - Phase 2,Renewable,Advanced Conversion Technologies,1072,Operational,Avon,South West,England,51.509655,-2.6908331,30/12/2013
0101000020E610000075779D0DF9F70DC0BFD7101C97EF4B40,9,18/03/2014,Future Spectrum Ltd,Torrance Farm,Renewable,Wind Onshore,1073,Operational,Strathclyde,Scotland,Scotland,55.871799,-3.7460805,30/12/2013
0101000020E6100000447B061E295C10C0394206F2ECDE4B40,9,25/02/2014,Blantyre Muir Wind Energy Ltd†,Blantyre Muir Wind Farm,Renewable,Wind Onshore,1074,Operational,Strathclyde,Scotland,Scotland,55.741606,-4.0900006,30/12/2013
0101000020E61000001EEF23F1D1E6B43F75745C8DEC6A4A40,1.5,06/01/2014,Tamar Energy,Manor Farm (Farm AD),Renewable,Anaerobic Digestion,1075,Operational,Lincolnshire,East Midlands,England,52.835344,0.081647035,31/12/2013
0101000020E6100000293BA2E7BBE0F5BFDBC1887D02984940,5,24/03/2014,Anesco,Owls Lodge Farm Extension,Renewable,Solar Photovoltaics,1076,Operational,Hampshire,South East,England,51.187576,-1.3673667,31/12/2013
0101000020E61000001D226E4E25D300C0BDC5C37B0E604940,5,06/01/2014,,Dolmans Hill (Redbridge Farm) Solar Arrays,Renewable,Solar Photovoltaics,1077,Operational,Dorset,South West,England,50.750442,-2.1030985,03/01/2014
0101000020E61000005B79C9FFE48FF03F7CD28904534D4A40,14.8,06/02/2014,Solarcentury / Bluefield Solar,Hardingham Solar Farm,Renewable,Solar Photovoltaics,1078,Operational,Norfolk,Eastern,England,52.604096,1.0351305,05/01/2014
0101000020E6100000355EBA490C02E9BFF4FDD478E9A64A40,2008,May 2015,EDF Energy,Cottam,Non-renewable,Coal,1637,Operational,,,East Midlands,53.304,-0.7815,1969
0101000020E6100000AA46AF06280DBDBFA2258FA7E5DF4A40,10.2,20/01/2014,Aeolian Holderness Ltd,Burton Pidsea (Wadworth Hill) Wind Farm,Renewable,Wind Onshore,1079,Operational,Humberside,Yorkshire and Humber,England,53.749196,-0.113482,10/01/2014
0101000020E61000004F2A330820D3EB3FC2137AFD49B24940,8,26/03/2014,Sunsave 9 (Old Rides) Ltd,Old Rides solar Farm,Renewable,Solar Photovoltaics,1080,Operational,Kent,South East,England,51.392883,0.86952211,15/01/2014
0101000020E6100000447B061E295C10C0394206F2ECDE4B40,7.5,05/01/2015,West Coast Energy,Blantyre Muir Wind Farm extension,Renewable,Wind Onshore,1081,Operational,Strathclyde,Scotland,Scotland,55.741606,-4.0900006,15/01/2014
0101000020E610000065C6DB4AAFA517C0DA54DD239B5D4B40,13.8,10/05/2013,Gaelectric Developments Ltd,Carn Hill,Renewable,Wind Onshore,987,Operational,County Antrim,Northern Ireland,Northern Ireland,54.731297,-5.9118015,08/05/2013
0101000020E61000005B23827170E912C0ED0F94DBF66D4B40,15.3,25/09/2014,Gamesa Energy,Carscreugh Renewable Energy Park,Renewable,Wind Onshore,1082,Operational,,Scotland,Scotland,54.859096,-4.727968,15/01/2014
0101000020E61000009B3F016FDC4D11C0BE88B663EA404940,6.4,22/05/2014,Inazin (Low Carbon Solar),Callington Solar Farm,Renewable,Solar Photovoltaics,1083,Operational,Cornwall,South West,England,50.507153,-4.3260362,17/01/2014
0101000020E6100000A16F664F5D3404C02E742502D5A34940,6.5,03/04/2014,Anesco,SOLAR PARK - WHITCHURCH FARM,Renewable,Solar Photovoltaics,1084,Operational,Somerset,South West,England,51.279938,-2.5255686,17/01/2014
0101000020E61000009C0F7459F1E200C006651A4D2ED04940,14,30/04/2014,Steadfast Marsh Solar Ltd - Belectric (Wai-Kit Cheung <waikit.cheung@belectric.co.uk>),Marsh Farm,Renewable,Solar Photovoltaics,1085,Operational,Wiltshire,South West,England,51.626413,-2.1108119,22/01/2014
0101000020E61000007FD9E2BFE57615C041D5E8D5001B4940,7.3,22/05/2014,Hope Solar Park Ltd,Hope Solar Farm,Renewable,Solar Photovoltaics,1086,Operational,Cornwall,South West,England,50.210963,-5.3661108,23/01/2014
0101000020E6100000F6306AAD1E0609C0D13FC1C58A764940,7.5,03/04/2014,Anesco,Culmhead Solar Farm (Resubmission),Renewable,Solar Photovoltaics,1087,Operational,Somerset,South West,England,50.92611,-3.1279882,26/01/2014
0101000020E6100000BB8E82F11D6607C048A46DFC89644940,8,26/08/2014,British Solar Renewables (formerly known as Solar Power Generation),Stonebarrow Farm,Renewable,Solar Photovoltaics,1088,Operational,Devon,South West,England,50.785461,-2.9248618,30/01/2014
0101000020E61000000F5B40894B65CFBFD0F1D1E28C074A40,20,16/09/2014,Co-operative Group,Langford Wind Farm,Renewable,Wind Onshore,1089,Operational,Bedfordshire,Eastern,England,52.058987,-0.24527878,30/01/2014
0101000020E6100000F1C86999565C15C0D36C1E87C1164C40,1.9,31/03/2014,Gilkes Energy Ltd,Ederline Hydro,Renewable,Small Hydro,1090,Operational,Strathclyde,Scotland,Scotland,56.177781,-5.3401741,31/01/2014
0101000020E610000091819774EFDC07C0EF7211DF89974940,1.6,23/07/2014,Viridor,Walpole Landfill AD (Waste AD),Renewable,Anaerobic Digestion,1091,Operational,Somerset,South West,England,51.183895,-2.9828786,02/02/2014
0101000020E6100000C35554B3BD0CD93F790778D2C2234A40,5,17/03/2015,Munich RE,Forest Heath Solar Farm,Renewable,Solar Photovoltaics,1092,Operational,Suffolk,Eastern,England,52.279383,0.39140265,04/02/2014
0101000020E6100000B4E4F1B4FCB004C0C6A6954220A14940,7,03/04/2014,Anesco,Shooters Bottom Solar Park,Renewable,Solar Photovoltaics,1093,Operational,Somerset,South West,England,51.258797,-2.5864195,05/02/2014
0101000020E61000003B87D79A526305C0B0027CB779C14940,8.2,27/02/2014,Wessex Water Engineering Services,Avonmouth Wind Power,Renewable,Wind Onshore,1095,Operational,Avon,South West,England,51.511527,-2.6734974,06/02/2014
0101000020E6100000419E5DBEF5C1F5BF151F9F909D674940,3,03/04/2014,Manor of Cadland,The Manor of Cadland Estate - extension,Renewable,Solar Photovoltaics,1096,Operational,Hampshire,South East,England,50.809496,-1.3598535,07/02/2014
0101000020E610000005BA9B4C8131E1BF81785DBF60274A40,10,06/05/2014,Chelveston Renewable Energy Ltd,Chelveston Renewable Energy Park Wind Farm (Bedford),Renewable,Wind Onshore,1097,Operational,Northamptonshire,East Midlands,England,52.30764,-0.5372931,15/02/2014
0101000020E6100000B14C648B49A4F6BFA320787C7B614B40,1.3,08/05/2009,E.On,Hare Hill,Renewable,Wind Onshore,353,Operational,Durham,North East,England,54.761581,-1.4151092,01/07/2004
0101000020E610000062841177CC2BE1BFDB85E63A8D264A40,12.5,06/05/2014,"Chelveston Renewable Energy Ltd, David Henson",Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),Renewable,Wind Onshore,1098,Operational,Northamptonshire,East Midlands,England,52.301185,-0.53659652,15/02/2014
0101000020E6100000E95D82742D31C23F828C800A47C04940,2.5,05/01/2015,Thames Water Utilities Ltd,Crossness Sewage Works Turbine,Renewable,Wind Onshore,1099,Operational,Greater London,London,England,51.502168,0.14212578,16/02/2014
0101000020E61000005CE674594C4C09C0FD4D2844C0194C40,65,05/03/2015,RWE,Markinch Biomass CHP Plant,Renewable,Biomass (dedicated),1100,Operational,Fife,Scotland,Scotland,56.20118,-3.162255,18/02/2014
0101000020E6100000C8FD58D29BEB0EC0A1F65B3B51824940,5,19/12/2014,Padero Solar,Kingsland Barton Solar Farm (resubmission),Renewable,Solar Photovoltaics,1101,Operational,Devon,South West,England,51.018104,-3.8650433,22/02/2014
0101000020E6100000842A357BA08D14C042CF66D5E7264940,1.5,26/02/2014,Inazin Power Ltd,Four Burrows Solar farm (Extension 1),Renewable,Solar Photovoltaics,1102,Operational,Cornwall,South West,England,50.30395,-5.1383075,23/02/2014
0101000020E6100000259B06A0AC33FEBFA54BFF9254D04940,1,27/11/2014,Bath & West Community Energy Ltd,Chelworth Industrial Estate Solar Park,Renewable,Solar Photovoltaics,1103,Operational,Wiltshire,South West,England,51.627581,-1.8876158,24/02/2014
0101000020E6100000A6F27684D3E2F1BF1409A69A59594A40,2.5,27/02/2014,Severn Trent Water,Severn Trent STW,Renewable,Wind Onshore,1104,Operational,Leicestershire,East Midlands,England,52.698047,-1.1178775,26/02/2014
0101000020E6100000ADE1E0DAA24FE2BFF699B33EE5B04940,2.4,03/07/2014,Agrivert,Trumps Farm (AD),Renewable,Anaerobic Digestion,1105,Operational,Surrey,South East,England,51.381996,-0.57222121,28/02/2014
0101000020E6100000F20C75B39AE9F43F26A8E15B58734A40,11,07/05/2014,Lumicity,North Norfolk Business Centre Solar Park,Renewable,Solar Photovoltaics,1106,Operational,Norfolk,Eastern,England,52.901134,1.3070323,28/02/2014
0101000020E61000005D546A7A79CFE0BF691EC022BF264A40,16,28/06/2014,Chelveston Renewable Energy Limited,Chelveston Airfield,Renewable,Solar Photovoltaics,1107,Operational,Bedfordshire,Eastern,England,52.302708,-0.52532648,28/02/2014
0101000020E61000007FDF1A33E4B3F53FBC5CC47762624A40,2,16/03/2015,Oak Grove Renewables,Oak Grove Biomass Facility,Renewable,Biomass (dedicated),1108,Operational,Norfolk,Eastern,England,52.76863,1.3564188,01/03/2014
0101000020E61000000B2F1C6382ED13C0D1949D7E50214D40,4,26/03/2014,RWE npower,Maldie Burn,Renewable,Small Hydro,1109,Operational,Highland,Scotland,Scotland,58.260269,-4.9819427,01/03/2014
0101000020E61000007F92F1DE07D6FDBFF22213F06B6C4940,13.2,07/01/2015,Foresight,Homeland Solar Farm,Renewable,Solar Photovoltaics,1110,Operational,Dorset,South West,England,50.847044,-1.8647536,01/03/2014
0101000020E6100000BC10A3CE7999C13F20ED7F80B5C24940,1.4,17/03/2014,Lynton Development Ltd & Teg Environmental Ltd,East Dagenham Docks AD (AD),Renewable,Anaerobic Digestion,1111,Operational,Greater London,London,England,51.521164,0.13749621,04/03/2014
0101000020E61000002A070EC3A29D0AC07993DFA293B54940,7.5,29/10/2014,Lightsource Renewable Energy,Sutton Mawr Farm,Renewable,Solar Photovoltaics,1112,Operational,South Glamorgan,Wales,Wales,51.418568,-3.3269706,04/03/2014
0101000020E6100000974748EEFA96F43F0D535BEA20014A40,11.6,26/08/2014,Stratton Hall Solar Park Limited,Stratton Hall Solar Park,Renewable,Solar Photovoltaics,1113,Operational,Suffolk,Eastern,England,52.008817,1.2868604,07/03/2014
0101000020E610000057B66A323ECF13C0894160E5D0EC4940,10.8,22/05/2014,Rudbaxton Solar Park Limited,Rudbaxton Solar Park,Renewable,Solar Photovoltaics,1114,Operational,Dyfed,Wales,Wales,51.850125,-4.9523857,08/03/2014
0101000020E61000003DBFD9FAAADB8BBFD8D825AAB7024A40,1,26/08/2014,Mr R Rob Such,Hatch Penn Farm PV,Renewable,Solar Photovoltaics,1115,Operational,Hertfordshire,Eastern,England,52.02123,-0.013602577,08/03/2014
0101000020E61000003E02243F878E07C0B0045262D79C4940,10.2,01/12/2014,Belltown Power,Watchfield Lawn,Renewable,Solar Photovoltaics,1116,Operational,Somerset,South West,England,51.225323,-2.9445939,12/03/2014
0101000020E6100000C91394E4B16DE3BF7100FDBE7F994A40,16.4,09/05/2014,Lincolnshire County Council,Lincoln EFW,Renewable,EfW Incineration,1117,Operational,Lincolnshire,East Midlands,England,53.199211,-0.60714049,14/03/2014
0101000020E6100000D4A535BC0FB613C01EA4A7C821364940,7,22/05/2014,Inazin Solar (previoulsy owned by Low Carbon Solar),St Columb Major Solar Farm,Renewable,Solar Photovoltaics,1118,Operational,Cornwall,South West,England,50.422906,-4.9277944,14/03/2014
0101000020E61000008E401768D25101C0D4D17135B2BD4940,11,20/05/2014,Battens Farm Solar Park Ltd - James Hartley,Battens Farm Solar Park,Renewable,Solar Photovoltaics,1119,Operational,Wiltshire,South West,England,51.482001,-2.1649521,15/03/2014
0101000020E6100000C64E78094E4D14C0349C3237DF264940,11,26/08/2014,British Solar Renewables (formerly known as Solar Power Generation),Penare Farm Solar Farm,Renewable,Solar Photovoltaics,1120,Operational,Cornwall,South West,England,50.303687,-5.075493,18/03/2014
0101000020E6100000E60FBC106192F8BFBB26A43506234A40,2,02/04/2014,Wolseley UK,Wolseley National Distribution Centre,Renewable,Solar Photovoltaics,1121,Operational,Warwickshire,West Midlands,England,52.273627,-1.5357371,18/03/2014
0101000020E610000037DF88EE59E700C0ACE5CE4C30D04940,7.2,03/04/2014,Anesco,NEWNTON DAIRY FARM,Renewable,Solar Photovoltaics,1122,Operational,Wiltshire,South West,England,51.626474,-2.1129645,19/03/2014
0101000020E610000052DC4CE031DF14C0AD889AE8F3054940,4.5,23/05/2014,Wardell Armstrong International Ltd,Goonhilly Downs - PV,Renewable,Solar Photovoltaics,1123,Operational,Cornwall,South West,England,50.046506,-5.2179637,19/03/2014
0101000020E61000008A9996BB4348CEBFCBF3E0EEAC354A40,9,03/04/2014,Anesco,Abbey Farm,Renewable,Solar Photovoltaics,1124,Operational,Cambridgeshire,Eastern,England,52.41934,-0.23658034,19/03/2014
0101000020E6100000B372D476B8C200C003D2FE07585F4940,3,06/03/2015,Primrose Solar,North of Newton Farm,Renewable,Solar Photovoltaics,1125,Operational,Dorset,South West,England,50.744874,-2.0950784,19/03/2014
0101000020E6100000BBF083F3A9C307C04C1762F547C64940,850,May 2015,MPF Operations Limited,Severn Power (Uskmouth),Non-renewable,CCGT,1620,Operational,,,Wales,51.549071,-2.970539,2010
0101000020E6100000AAE8B413CAC700C0BDFF8F13265E4940,8.3,06/03/2015,Primrose Solar,South Newton Farm,Renewable,Solar Photovoltaics,1126,Operational,Dorset,South West,England,50.735537,-2.0975534,19/03/2014
0101000020E6100000DF50D75E34B9EEBFEB1A2D077AAE4A40,3,02/09/2014,Fred Walter & Sons Ltd,Sutton Grange AD Plant,Renewable,Anaerobic Digestion,1127,Operational,Nottinghamshire,East Midlands,England,53.363099,-0.96010798,20/03/2014
0101000020E610000091B6F1272ADBD6BF2AABE97AA2CB4A40,1.5,04/11/2014,Singleton Birch,Singleton Birch (Farm AD),Renewable,Anaerobic Digestion,1128,Operational,Humberside,Yorkshire and Humber,England,53.590896,-0.35712675,21/03/2014
0101000020E6100000A300723E4C0DE23F10CAFB389A474A40,6.1,20/05/2014,Lightsource Renewable Energy,Reaches Farm Solar Park,Renewable,Solar Photovoltaics,1129,Operational,Norfolk,Eastern,England,52.559394,0.56412327,21/03/2014
0101000020E6100000A195C50E747E03C001FBE8D4959D4940,1.5,26/03/2014,Mells Park Trust,Land at Soho Farm,Renewable,Solar Photovoltaics,1131,Operational,Somerset,South West,England,51.231135,-2.4367448,24/03/2014
0101000020E6100000F92A9E1FEBEE08C0D8648D7A88884940,5,01/10/2014,Solar Power South Ltd,Lower Marsh Farm,Renewable,Solar Photovoltaics,1133,Operational,Somerset,South West,England,51.066665,-3.1166594,24/03/2014
0101000020E6100000B657D581621AFEBF98FC4FFEEEC54940,12,26/08/2014,MTS Spittleborough Solar Ltd,Spittleborough Farm,Renewable,Solar Photovoltaics,1134,Operational,Wiltshire,South West,England,51.546356,-1.8814416,25/03/2014
0101000020E61000000B9F083DF62610C044A67C08AAE24940,13.5,26/08/2014,Elgin Energy EsCo,Clawdd Ddu PV,Renewable,Solar Photovoltaics,1135,Operational,Dyfed,Wales,Wales,51.770814,-4.0380487,26/03/2014
0101000020E61000007D9AEED00BF209C032E6AE25E4BB4940,5,26/08/2014,Caerau Solar IQ,Woden Park,Renewable,Solar Photovoltaics,1136,Operational,South Glamorgan,Wales,Wales,51.4679,-3.2431866,26/03/2014
0101000020E61000005FBD40FFF36AF2BFCCD3B9A2948A4940,12,29/10/2014,Lightsource Renewable Energy,Bishops Sutton,Renewable,Solar Photovoltaics,1137,Operational,Hampshire,South East,England,51.082661,-1.1511116,27/03/2014
0101000020E61000004B32BCA310C212C073F38DE89E354940,6.1,04/04/2014,Lightsource Renewable Energy,Rew Farm Solar Farm,Renewable,Solar Photovoltaics,1138,Operational,Cornwall,South West,England,50.418912,-4.6895166,27/03/2014
0101000020E61000001EDC42FC685DC9BFC8444AB379304A40,25,05/03/2015,Octopus Investment,Abbots Ripton Solar Farm,Renewable,Solar Photovoltaics,1139,Operational,Cambridgeshire,Eastern,England,52.378714,-0.19816315,27/03/2014
0101000020E610000095229E91AD6307C04B22FB20CB964940,7,26/08/2014,Wessex Solar Energy,Pyde Drove,Renewable,Solar Photovoltaics,1140,Operational,Somerset,South West,England,51.178074,-2.9236709,27/03/2014
0101000020E610000051AEDF02BF8C0FC08DD47B2AA7E54940,9,30/04/2014,Wessex Solar Energy,Cefn Betingau Farm,Renewable,Solar Photovoltaics,1171,Operational,West Glamorgan,Wales,Wales,51.794164,-3.9437237,31/03/2014
0101000020E6100000736AC2514D4413C0341477BCC9D34C40,51,05/01/2015,Eneco,Lochluichart,Renewable,Wind Onshore,1226,Operational,Highland,Scotland,Scotland,57.654594,-4.8167012,14/05/2014
0101000020E61000004515BCF09C90EA3FDA1F28B7ED734A40,20,26/08/2014,British Solar Renewables (formerly known as Solar Power Generation),North Creake Airfield (Resubmission),Renewable,Solar Photovoltaics,1141,Operational,Norfolk,Eastern,England,52.905692,0.83015296,27/03/2014
0101000020E6100000C46D7E0DD2FDF53F47E350BF0BAD4940,9.2,02/04/2014,Sunsave 16 (Westwood) Ltd,Manston Solar Farm extension,Renewable,Solar Photovoltaics,1142,Operational,Kent,South East,England,51.351921,1.3744679,28/03/2014
0101000020E6100000AFF85D433631B03F9BCAA2B08B824A40,12,28/05/2014,Hazel Capital,Leverton Ings,Renewable,Solar Photovoltaics,1143,Operational,Lincolnshire,East Midlands,England,53.019888,0.063250915,28/03/2014
0101000020E6100000DD943477DBA2EABFB1DEA815A67B4A40,12.4,20/05/2014,Lightsource Renewable Energy,Lodge Farm - Orston,Renewable,Solar Photovoltaics,1144,Operational,Nottinghamshire,East Midlands,England,52.966006,-0.83238004,28/03/2014
0101000020E61000002327B8FD97A004C0FCFF3861C29A4940,5.4,20/05/2014,Lightsource Renewable Energy,Crapnell Farm Solar Farm,Renewable,Solar Photovoltaics,1145,Operational,Somerset,South West,England,51.209057,-2.5784149,28/03/2014
0101000020E6100000FB534F8B667A10C0B9AB5791D1794940,3.3,02/04/2014,,Week Farm Solar Park,Renewable,Solar Photovoltaics,1146,Operational,Devon,South West,England,50.951708,-4.1195318,28/03/2014
0101000020E610000025D0DC1A4306E73F0397C79A91E94940,2.8,02/09/2014,Hive Energy,Highfields Farm (Braintree),Renewable,Solar Photovoltaics,1147,Operational,Essex,Eastern,England,51.824756,0.71951442,28/03/2014
0101000020E610000025D0DC1A4306E73F0397C79A91E94940,12.2,02/09/2014,Hive Energy,Highfields Farm (Colchester),Renewable,Solar Photovoltaics,1148,Operational,Essex,Eastern,England,51.824756,0.71951442,28/03/2014
